ZIP,Population,Median age
03036,4802,42.8
03037,4280,42.3
03038,33585,38.7
03042,6526,41.5
03043,1573,47.6
03044,4253,44
03045,13582,43.4
03046,2779,44.3
03047,1477,46.9
03048,3523,43.1
03049,7721,47.2
03051,24646,40.4
03052,8267,38.2
03053,23884,41.2
03054,25563,42.5
03055,15085,40.8
03057,2597,43.5
03060,29480,35
03062,27008,42.3
03063,16028,37.3
03064,14283,41.2
03070,5321,41
03071,5157,38.8
03076,13032,41.2
03077,10339,38.1
03079,28841,43.2
03082,1581,45.5
03084,1594,46
03086,3825,43
03087,13943,42.7
03101,2901,41.2
03102,31409,34.9
03103,37301,35.3
03104,32686,38.5
03106,13582,40.7
03109,10038,42.2
03110,21449,42.8
03215,260,52.7
03216,2114,47.7
03217,2066,37.7
03218,978,40.5
03220,7345,39.6
03221,2294,46.4
03222,5572,45
03223,3389,47
03224,2291,48.7
03225,3627,45
03226,1012,51.5
03227,1146,44.5
03229,5591,45.3
03230,1324,42.8
03231,314,52.7
03233,151,51.4
03234,4627,45.5
03235,8571,41.4
03237,2173,49.8
03238,106,27
03240,1278,45.2
03241,925,47.3
03242,4822,30.9
03243,1164,46.9
03244,8035,40.2
03245,1945,50.5
03246,16014,45.6
03249,7142,49.7
03251,1309,49
03253,6283,48.6
03254,4052,54.6
03255,1756,49.7
03256,2266,44.8
03257,4650,49.8
03258,2522,48.8
03259,318,58.4
03260,742,48.3
03261,4269,43.3
03262,1043,43.6
03263,4082,38.6
03264,7453,24.1
03266,2284,48.8
03268,1290,45.6
03269,2977,50.2
03273,322,55.4
03275,11424,40.1
03276,8363,42.6
03278,2951,45.3
03279,620,50.3
03280,1013,51.2
03281,8849,37.4
03282,896,50.3
03284,1106,41
03285,2479,48.1
03287,1286,46.7
03290,4780,43.3
03291,31,45.1
03293,94,52.3
03301,32488,40
03303,15879,39.9
03304,7611,45.4
03307,5343,45.7
03431,25312,36.6
03440,2640,46.1
03441,572,32.1
03442,1367,39.4
03443,787,45.4
03444,1642,47.7
03445,745,39.7
03446,6254,43
03447,2445,47.7
03448,610,51.9
03449,1805,49.5
03450,911,53.5
